# SOURMASH-MANIFEST-VERSION: 1.0
internal_location,md5,md5short,ksize,moltype,num,scaled,n_hashes,with_abundance,name,filename
./metagenomes/ERR10162411.mf.csv,990101ad6a7e3c61e26b2749dae85c67,990101ad,21,DNA,0,1000,446746,True,ERR10162411,-
./metagenomes/ERR10162411.mf.csv,14339cb065f4e92cb13cca06ad602416,14339cb0,31,DNA,0,1000,473679,True,ERR10162411,-
./metagenomes/ERR10162411.mf.csv,c1976f034e9c93c2160b104e29ee4f3d,c1976f03,51,DNA,0,1000,468249,True,ERR10162411,-
./metagenomes/ERR2819892.mf.csv,f7b7a4c06111bdcbf2a5d2871dfe8927,f7b7a4c0,21,DNA,0,1000,2101419,True,ERR2819892,-
./metagenomes/ERR2819892.mf.csv,2138ead843a3632b183398ee0ed7e8a6,2138ead8,31,DNA,0,1000,2009453,True,ERR2819892,-
./metagenomes/ERR2819892.mf.csv,52ce96cf1442d38f80685271a64bd705,52ce96cf,51,DNA,0,1000,1626093,True,ERR2819892,-
./metagenomes/SRR11734772.mf.csv,84e9f55e2d6e7b73f1ba68cc7848a860,84e9f55e,21,DNA,0,1000,638950,True,SRR11734772,-
./metagenomes/SRR11734772.mf.csv,4b0fdd9b1fdacd4a4fabc4694f961887,4b0fdd9b,31,DNA,0,1000,753798,True,SRR11734772,-
./metagenomes/SRR11734772.mf.csv,b55802a2c0a411ee8d1eabfcd9af8329,b55802a2,51,DNA,0,1000,892641,True,SRR11734772,-
./metagenomes/SRR11734785.mf.csv,183c67686109962c9f95c07cf1cabc34,183c6768,21,DNA,0,1000,453033,True,SRR11734785,-
./metagenomes/SRR11734785.mf.csv,79e8eee8918096518a4da6685965d4da,79e8eee8,31,DNA,0,1000,501614,True,SRR11734785,-
./metagenomes/SRR11734785.mf.csv,caad260fc8ff271bc969fb54edc674dc,caad260f,51,DNA,0,1000,549446,True,SRR11734785,-
./metagenomes/SRR12217734.mf.csv,9e21e05938fe6c8c73c71dfc8d6c030a,9e21e059,21,DNA,0,1000,617520,True,SRR12217734,-
./metagenomes/SRR12217734.mf.csv,19a57226d57498904023455e7f7dc525,19a57226,31,DNA,0,1000,768269,True,SRR12217734,-
./metagenomes/SRR12217734.mf.csv,52319395c3e59555164d3cf28ae624f9,52319395,51,DNA,0,1000,929244,True,SRR12217734,-
./metagenomes/SRR12959777.mf.csv,6267b70c1b70b91141bc9685e4c585e1,6267b70c,21,DNA,0,1000,1732683,True,SRR12959777,-
./metagenomes/SRR12959777.mf.csv,9c13b066a2168330596f9045bbd5dbc1,9c13b066,31,DNA,0,1000,1867173,True,SRR12959777,-
./metagenomes/SRR12959777.mf.csv,53ae5df3550137fee10cec441ac89a12,53ae5df3,51,DNA,0,1000,1871096,True,SRR12959777,-
./metagenomes/SRR14842381.mf.csv,e1271f0515a557241457ce7d007ce65c,e1271f05,21,DNA,0,1000,843831,True,SRR14842381,-
./metagenomes/SRR14842381.mf.csv,92ca2dd85890dab4039e5ab10ffd371f,92ca2dd8,31,DNA,0,1000,999366,True,SRR14842381,-
./metagenomes/SRR14842381.mf.csv,92bccfd87a5b08e6e82a470cffd0dd6b,92bccfd8,51,DNA,0,1000,1150144,True,SRR14842381,-
./metagenomes/SRR17231405.mf.csv,6a69c19c07cd8a0ceb48caff6a287794,6a69c19c,21,DNA,0,1000,31725,True,SRR17231405,-
./metagenomes/SRR17231405.mf.csv,05df7d0b6a32d45c5390259707914a7b,05df7d0b,31,DNA,0,1000,31556,True,SRR17231405,-
./metagenomes/SRR17231405.mf.csv,4bf35ed66fb605061e153c06d860a33c,4bf35ed6,51,DNA,0,1000,31197,True,SRR17231405,-
./metagenomes/SRR18691112.mf.csv,802b61f55ca434db0166227e750491b8,802b61f5,21,DNA,0,1000,1845291,True,SRR18691112,-
./metagenomes/SRR18691112.mf.csv,b4e4ffe042632f6cff3bf7aca9f2fd1f,b4e4ffe0,31,DNA,0,1000,2010713,True,SRR18691112,-
./metagenomes/SRR18691112.mf.csv,2e8fa9e97b48f2abc01e753eb808b150,2e8fa9e9,51,DNA,0,1000,2029057,True,SRR18691112,-
./metagenomes/SRR18691152.mf.csv,14f994af37c72c889bedb959f2787c26,14f994af,21,DNA,0,1000,910099,True,SRR18691152,-
./metagenomes/SRR18691152.mf.csv,af1adadd05d1ccb760d349b338c0528a,af1adadd,31,DNA,0,1000,988945,True,SRR18691152,-
./metagenomes/SRR18691152.mf.csv,e836d35fba85511d30d4351dc6ddc050,e836d35f,51,DNA,0,1000,1013880,True,SRR18691152,-
./metagenomes/SRR18691161.mf.csv,ca0069873b0343d5756d13ac476bff8c,ca006987,21,DNA,0,1000,1756299,True,SRR18691161,-
./metagenomes/SRR18691161.mf.csv,51031d55e54a073946b67c31d94cb57a,51031d55,31,DNA,0,1000,2045476,True,SRR18691161,-
./metagenomes/SRR18691161.mf.csv,ce1cbf85b45d8124da907fa73ee64d14,ce1cbf85,51,DNA,0,1000,2213856,True,SRR18691161,-
./metagenomes/SRR20285055.mf.csv,cb1ed67e000e87627e5f9cba245bd153,cb1ed67e,21,DNA,0,1000,2570510,True,SRR20285055,-
./metagenomes/SRR20285055.mf.csv,a6d953d7cb79d3bf8e0a1fe985450ff2,a6d953d7,31,DNA,0,1000,2985850,True,SRR20285055,-
./metagenomes/SRR20285055.mf.csv,2960d3a7b9a3b40f1da6b133b1943902,2960d3a7,51,DNA,0,1000,3023666,True,SRR20285055,-
./metagenomes/SRR20950787.mf.csv,14f1e362736124aa4994ea0688844368,14f1e362,21,DNA,0,1000,2684012,True,SRR20950787,-
./metagenomes/SRR20950787.mf.csv,1caf4c7f219cf52c0a71d280bd252bc3,1caf4c7f,31,DNA,0,1000,2780833,True,SRR20950787,-
./metagenomes/SRR20950787.mf.csv,938e8e137705b36bc00af460d300c518,938e8e13,51,DNA,0,1000,2685978,True,SRR20950787,-
./metagenomes/SRR2243572.mf.csv,dd6036e67aa1fe1dc1e31498b346087a,dd6036e6,21,DNA,0,1000,164897,True,SRR2243572,-
./metagenomes/SRR2243572.mf.csv,322045693c53d055066684f69808edc1,32204569,31,DNA,0,1000,184883,True,SRR2243572,-
./metagenomes/SRR2243572.mf.csv,13edd9c0341fe150161caaa12b9f7727,13edd9c0,51,DNA,0,1000,187388,True,SRR2243572,-
./metagenomes/SRR3458563.mf.csv,3d43ae73064ad0c2fab87535f436ef87,3d43ae73,21,DNA,0,1000,179932,True,SRR3458563,-
./metagenomes/SRR3458563.mf.csv,8720382b8276e2741a096c4f9c6945db,8720382b,31,DNA,0,1000,247191,True,SRR3458563,-
./metagenomes/SRR3458563.mf.csv,3f715cdd65aa699064fa2370b2fa7888,3f715cdd,51,DNA,0,1000,338980,True,SRR3458563,-
./metagenomes/SRR5098319.mf.csv,86ef3f9f97977da0313b0685baf76588,86ef3f9f,21,DNA,0,1000,263673,True,SRR5098319,-
./metagenomes/SRR5098319.mf.csv,24ed55ff0b392383b9cf5b1c032ea3a5,24ed55ff,31,DNA,0,1000,266255,True,SRR5098319,-
./metagenomes/SRR5098319.mf.csv,d4b52848320b1caca0c26531b27b7e4d,d4b52848,51,DNA,0,1000,260471,True,SRR5098319,-
./metagenomes/SRR5190220.mf.csv,7ab09fada535a251829f9003981b5df7,7ab09fad,21,DNA,0,1000,1618615,True,SRR5190220,-
./metagenomes/SRR5190220.mf.csv,f31f0748f47ef85595f6d4ee7cda492b,f31f0748,31,DNA,0,1000,1690328,True,SRR5190220,-
./metagenomes/SRR5190220.mf.csv,9d41bccc120fbbb541a97a64908b6adf,9d41bccc,51,DNA,0,1000,1524011,True,SRR5190220,-
./metagenomes/SRR5190256.mf.csv,e3a7b20da09099e77debfcb8e986e748,e3a7b20d,21,DNA,0,1000,1747393,True,SRR5190256,-
./metagenomes/SRR5190256.mf.csv,f69720a17e33847d376728dcb93d2537,f69720a1,31,DNA,0,1000,1844868,True,SRR5190256,-
./metagenomes/SRR5190256.mf.csv,007e8617a79cd305351632c0ea22df8d,007e8617,51,DNA,0,1000,1693286,True,SRR5190256,-
./metagenomes/SRR6144753.mf.csv,67542f6e2a04ee166b9ca46fc4b54fd9,67542f6e,21,DNA,0,1000,3965851,True,SRR6144753,-
./metagenomes/SRR6144753.mf.csv,476c544bf1e9661c767243a430f0c893,476c544b,31,DNA,0,1000,4167078,True,SRR6144753,-
./metagenomes/SRR6144753.mf.csv,ff1e430da0309aad9c4ddcf22a6d097a,ff1e430d,51,DNA,0,1000,4074102,True,SRR6144753,-
./metagenomes/SRR9016984.mf.csv,4e699f3b62c7e3b50573cc5a0afb3c10,4e699f3b,21,DNA,0,1000,176223,True,SRR9016984,-
./metagenomes/SRR9016984.mf.csv,37660cb6a25bcfc3ba7f76f41df8ff4a,37660cb6,31,DNA,0,1000,260895,True,SRR9016984,-
./metagenomes/SRR9016984.mf.csv,b2ecf9e26287a229c4dd0cf57beb2799,b2ecf9e2,51,DNA,0,1000,425571,True,SRR9016984,-
./metagenomes/ERR2185279.mf.csv,90a1a7fbf3946ddaa3cea3e56808f3b2,90a1a7fb,21,DNA,0,1000,2565356,True,ERR2185279,-
./metagenomes/ERR2185279.mf.csv,e17278801fa74829d837d987e035f474,e1727880,31,DNA,0,1000,2732540,True,ERR2185279,-
./metagenomes/ERR2185279.mf.csv,a71a12c9b52fa4659e955c08021e71ee,a71a12c9,51,DNA,0,1000,2878421,True,ERR2185279,-
./metagenomes/ERR3333611.mf.csv,a4b8fc0e298ab55fe317454d6f2e2d43,a4b8fc0e,21,DNA,0,1000,1450024,True,ERR3333611,-
./metagenomes/ERR3333611.mf.csv,ca310eca72df2cbc7d9a07dacdcf990b,ca310eca,31,DNA,0,1000,1819655,True,ERR3333611,-
./metagenomes/ERR3333611.mf.csv,bc5acf04436cd6b4fdcdfa28eec4a02f,bc5acf04,51,DNA,0,1000,2187151,True,ERR3333611,-
./metagenomes/SRR11734780.mf.csv,423436bcd14ef18745c62ad92d50c665,423436bc,21,DNA,0,1000,399708,True,SRR11734780,-
./metagenomes/SRR11734780.mf.csv,b5cbbdcf90a98935776a11ca1e1bd9a0,b5cbbdcf,31,DNA,0,1000,459774,True,SRR11734780,-
./metagenomes/SRR11734780.mf.csv,3a7431be01aa922a1147b8f7898b1e17,3a7431be,51,DNA,0,1000,527878,True,SRR11734780,-
./metagenomes/SRR11734791.mf.csv,94dabc3d780fa9a4a096eefb660c2e03,94dabc3d,21,DNA,0,1000,513824,True,SRR11734791,-
./metagenomes/SRR11734791.mf.csv,153759f8fc4e024b514e657355ffdd89,153759f8,31,DNA,0,1000,590823,True,SRR11734791,-
./metagenomes/SRR11734791.mf.csv,672ed77754f0ea852488e40fe76afe6f,672ed777,51,DNA,0,1000,668616,True,SRR11734791,-
./metagenomes/SRR12217748.mf.csv,f3ca4abce343ec24dff9968b8e8e8392,f3ca4abc,21,DNA,0,1000,623417,True,SRR12217748,-
./metagenomes/SRR12217748.mf.csv,9b500781c9a3835381efce95fd51f7eb,9b500781,31,DNA,0,1000,706974,True,SRR12217748,-
./metagenomes/SRR12217748.mf.csv,e6de38d5f55f5cd4a4a1249accda1217,e6de38d5,51,DNA,0,1000,768157,True,SRR12217748,-
./metagenomes/SRR14141927.mf.csv,cb1ed67e000e87627e5f9cba245bd153,cb1ed67e,21,DNA,0,1000,2570510,True,SRR14141927,-
./metagenomes/SRR14141927.mf.csv,a6d953d7cb79d3bf8e0a1fe985450ff2,a6d953d7,31,DNA,0,1000,2985850,True,SRR14141927,-
./metagenomes/SRR14141927.mf.csv,2960d3a7b9a3b40f1da6b133b1943902,2960d3a7,51,DNA,0,1000,3023666,True,SRR14141927,-
./metagenomes/SRR16797981.mf.csv,240ac6a79d5486794665b9fddcd3e0c0,240ac6a7,21,DNA,0,1000,4705877,True,SRR16797981,-
./metagenomes/SRR16797981.mf.csv,1f6cd18cbe6725501070107683e36564,1f6cd18c,31,DNA,0,1000,4897647,True,SRR16797981,-
./metagenomes/SRR16797981.mf.csv,63ddd56c5c412b0b6c59bfa7cc13d34d,63ddd56c,51,DNA,0,1000,4496083,True,SRR16797981,-
./metagenomes/SRR17238487.mf.csv,6a69c19c07cd8a0ceb48caff6a287794,6a69c19c,21,DNA,0,1000,31725,True,SRR17238487,-
./metagenomes/SRR17238487.mf.csv,05df7d0b6a32d45c5390259707914a7b,05df7d0b,31,DNA,0,1000,31556,True,SRR17238487,-
./metagenomes/SRR17238487.mf.csv,4bf35ed66fb605061e153c06d860a33c,4bf35ed6,51,DNA,0,1000,31197,True,SRR17238487,-
./metagenomes/SRR18691151.mf.csv,0adc4b46b85f2c8e4d33a90fdb40feab,0adc4b46,21,DNA,0,1000,2064846,True,SRR18691151,-
./metagenomes/SRR18691151.mf.csv,25a5150c12daf9c2ba39dafc99453b88,25a5150c,31,DNA,0,1000,2301311,True,SRR18691151,-
./metagenomes/SRR18691151.mf.csv,0ee7d2f625ee073daef254a6a0014087,0ee7d2f6,51,DNA,0,1000,2366476,True,SRR18691151,-
./metagenomes/SRR18691155.mf.csv,c9f8247878b192dc74fe0ee5c4af2c7b,c9f82478,21,DNA,0,1000,2228142,True,SRR18691155,-
./metagenomes/SRR18691155.mf.csv,f66116ec8a2f92e698502c261a7a1e55,f66116ec,31,DNA,0,1000,2552400,True,SRR18691155,-
./metagenomes/SRR18691155.mf.csv,30c2fb1f4ef76089d86ba797d9e41eda,30c2fb1f,51,DNA,0,1000,2708726,True,SRR18691155,-
./metagenomes/SRR20285028.mf.csv,149ae15b5e87aca0a04fa8f42a2ac207,149ae15b,21,DNA,0,1000,3642535,True,SRR20285028,-
./metagenomes/SRR20285028.mf.csv,0fd007a83e48b301db2f6f95deeb30a4,0fd007a8,31,DNA,0,1000,3584252,True,SRR20285028,-
./metagenomes/SRR20285028.mf.csv,520f5f6b8ffe9e3f568b66183c28ab74,520f5f6b,51,DNA,0,1000,3234440,True,SRR20285028,-
./metagenomes/SRR20950657.mf.csv,f8b5086a5ea1a4adb6d80bc8e4d5b1d6,f8b5086a,21,DNA,0,1000,2449311,True,SRR20950657,-
./metagenomes/SRR20950657.mf.csv,59e2dc6a5cd0a4414303972d7224ac7c,59e2dc6a,31,DNA,0,1000,2572501,True,SRR20950657,-
./metagenomes/SRR20950657.mf.csv,fe77a6ee5c554fc2298158e7b6bc3f72,fe77a6ee,51,DNA,0,1000,2535679,True,SRR20950657,-
./metagenomes/SRR2105903.mf.csv,9427fad610f8ce595bda261ddaa330c0,9427fad6,21,DNA,0,1000,302243,True,SRR2105903,-
./metagenomes/SRR2105903.mf.csv,b960c0e4513ebd9ce9d7c83401787c90,b960c0e4,31,DNA,0,1000,226847,True,SRR2105903,-
./metagenomes/SRR2105903.mf.csv,2838023a778dfaecdc212708f721b788,2838023a,51,DNA,0,1000,0,True,SRR2105903,-
./metagenomes/SRR3458562.mf.csv,b58147405bf75583858d538e7723ec72,b5814740,21,DNA,0,1000,213695,True,SRR3458562,-
./metagenomes/SRR3458562.mf.csv,becdd18453acd392f7db999f8edac650,becdd184,31,DNA,0,1000,288319,True,SRR3458562,-
